country,tipi1,tipi2,tipi3,tipi4,tipi5,tipi6,tipi7,tipi8,tipi9,tipi10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,family_size,stress_score,anxiety_score,depression_score,stress_category,anxiety_category,depression_category
AR,1,3,4,5,6,7,5,5,3,5,2,3,1,2,19,1,0,2,70,1,1,2,12,10,19,0,2,2
US,4,5,7,7,4,7,7,1,1,5,2,2,2,1,28,1,7,1,70,2,1,6,29,10,23,3,2,3
US,0,0,0,0,0,0,0,0,0,0,2,3,2,2,19,1,12,5,70,2,1,1,0,3,1,0,0,0
CA,6,3,6,2,7,2,7,3,7,5,3,2,2,1,23,1,4,1,10,1,1,1,13,6,31,0,0,4
US,2,6,2,5,2,5,2,7,2,5,2,1,1,1,18,1,5,1,60,1,1,4,13,7,39,0,0,4
TR,1,5,1,7,7,7,1,7,5,1,2,3,3,2,16,1,10,3,60,2,1,1,28,20,36,3,4,4
US,1,3,7,6,5,7,3,4,4,1,1,2,1,1,16,3,1,2,70,2,1,2,20,31,40,2,4,4
IT,5,6,2,5,7,4,7,6,1,2,2,3,2,2,22,2,4,1,60,1,1,2,16,9,22,1,1,3
MK,2,6,3,7,2,6,6,6,3,5,2,1,2,2,36,1,7,1,60,1,2,2,20,14,10,2,2,1
US,1,1,5,4,2,7,6,7,6,5,2,2,1,1,18,1,1,2,70,1,1,2,21,15,19,2,3,2
PT,6,5,3,7,7,2,6,5,2,4,3,3,2,2,25,1,1,1,60,2,1,1,14,7,7,0,0,0
US,2,4,6,6,6,4,7,2,5,2,3,3,2,2,34,1,7,1,60,2,1,0,22,10,34,2,2,4
GR,6,2,3,5,6,1,7,2,1,1,4,3,2,2,30,1,7,1,60,1,1,1,27,13,10,3,2,1
US,2,6,1,6,2,5,3,7,1,2,2,1,1,1,28,1,7,1,60,2,3,1,20,19,32,2,3,4
US,3,7,6,5,3,2,1,1,1,1,2,3,2,1,15,1,4,4,60,2,1,5,39,36,36,4,4,4
BA,1,2,7,2,6,7,5,1,7,7,2,2,1,2,27,1,2,1,60,1,1,2,10,11,37,0,2,4
US,1,5,6,5,6,7,4,5,2,4,2,2,1,1,16,2,2,3,10,2,1,1,17,17,41,1,3,4
US,5,4,4,5,7,6,6,5,3,2,1,3,1,1,16,1,2,1,60,2,1,2,24,23,32,2,4,4
US,6,5,6,6,7,3,6,2,5,1,4,1,2,1,36,2,1,1,60,2,1,2,11,2,0,0,0,0
GB,2,3,3,5,5,4,5,7,3,1,2,3,2,1,19,1,2,1,60,1,1,2,27,22,24,3,4,3
AU,2,1,5,5,5,6,6,5,4,5,4,2,2,1,32,1,1,4,60,1,1,1,14,7,32,0,0,4
US,6,3,6,3,7,5,6,2,4,2,3,1,2,1,22,2,4,1,60,1,1,2,17,1,12,1,0,1
US,3,5,6,7,5,7,1,5,2,5,3,3,2,1,40,1,12,1,60,2,2,2,30,9,28,3,1,4
US,4,3,4,5,7,6,5,4,2,6,2,2,3,1,18,1,2,2,60,2,1,3,13,8,27,0,1,3
US,5,7,7,5,6,5,2,7,2,6,1,2,1,1,18,1,2,1,60,2,1,3,21,15,36,2,3,4
US,6,2,6,2,5,5,6,5,6,5,2,3,2,1,36,1,12,1,60,2,3,2,5,2,5,0,0,0
RU,4,3,3,3,3,4,4,4,4,3,3,2,2,2,14,1,1,5,60,2,1,2,19,9,7,2,1,0
US,6,5,2,6,5,5,6,2,2,6,2,2,2,1,16,1,4,1,60,2,1,4,27,10,25,3,2,3
GB,6,3,5,5,6,5,5,3,5,3,3,3,2,1,25,1,1,1,60,2,1,2,4,2,4,0,0,0
US,3,2,3,1,7,5,7,5,6,5,3,2,1,1,20,1,2,1,60,1,1,4,3,12,33,0,2,4
IT,2,6,5,5,6,0,3,5,2,6,0,3,1,2,18,1,1,1,60,2,1,3,21,3,27,2,0,3
IN,6,6,7,7,4,5,6,7,2,1,1,3,2,2,15,1,8,2,10,2,1,1,26,28,31,3,4,4
GB,5,5,5,7,5,3,7,4,2,2,3,3,2,1,56,1,2,1,60,2,2,3,11,6,18,0,0,2
US,5,2,7,2,5,7,6,2,6,4,3,2,1,1,43,2,11,1,10,1,1,3,2,1,7,0,0,0
US,5,5,3,7,5,6,7,6,2,6,2,2,2,1,21,1,1,1,10,2,1,3,30,29,41,3,4,4
US,1,1,1,1,1,7,1,1,4,1,1,1,2,1,14,1,7,3,60,2,1,1,26,25,42,3,4,4
GB,7,5,3,5,6,2,7,3,5,2,3,3,2,1,42,2,12,1,70,2,2,1,14,4,6,0,0,0
HU,2,2,3,6,6,6,2,2,2,6,2,3,1,1,21,1,6,1,30,2,1,4,16,16,19,1,3,2
GB,4,2,6,4,6,4,7,1,4,2,3,2,2,1,71,1,12,1,60,2,2,1,1,3,1,0,0,0
US,6,7,6,7,3,7,7,7,2,2,1,3,2,1,14,2,12,2,60,2,1,5,28,21,13,3,4,1
US,6,6,7,6,5,5,6,4,3,2,3,2,2,1,37,1,12,1,60,1,1,2,11,5,15,0,0,2
US,1,3,1,7,2,7,6,6,1,4,2,2,2,1,20,1,2,2,60,2,1,4,42,41,42,4,4,4
KR,5,2,2,2,6,6,5,5,6,5,3,2,3,2,26,3,12,5,10,1,1,1,18,11,10,1,2,1
US,3,5,6,4,7,7,4,3,5,2,3,1,1,1,32,1,5,1,60,2,2,6,6,6,10,0,0,1
FI,2,7,6,6,2,7,1,5,2,4,2,1,3,2,13,1,7,2,60,2,1,4,15,7,10,1,0,1
IN,5,7,1,4,5,5,6,6,1,1,4,2,1,2,24,1,8,3,10,2,1,0,15,15,13,1,3,1
IE,6,5,2,5,6,6,7,6,3,2,2,1,1,1,67,1,4,1,60,2,3,5,9,8,10,0,1,1
AU,3,3,3,6,5,5,6,5,3,4,2,2,2,1,16,1,12,2,60,2,1,3,39,38,42,4,4,4
US,2,5,7,5,7,7,7,1,5,5,2,2,3,1,18,1,4,1,70,2,1,4,21,20,15,2,4,2
US,1,4,6,4,2,7,1,4,3,3,2,2,2,1,23,1,2,1,60,2,2,5,14,17,20,0,3,2
RS,7,4,7,5,7,2,6,3,6,2,3,3,2,2,42,1,2,1,60,1,1,2,7,8,2,0,1,0
NO,7,5,4,5,6,3,6,7,3,3,2,2,2,2,20,1,4,1,60,1,1,3,16,5,10,1,0,1
US,1,3,7,7,5,6,7,5,3,3,4,3,1,1,34,1,4,3,60,1,1,1,42,37,42,4,4,4
CZ,6,4,6,3,5,5,3,2,6,3,3,3,1,2,44,2,1,1,60,2,3,2,8,1,4,0,0,0
PL,6,7,5,3,7,5,4,3,3,1,1,3,1,2,16,1,2,1,60,2,1,1,16,11,11,1,2,1
PL,2,4,4,6,5,5,4,4,5,3,1,1,1,2,17,1,1,1,60,2,1,2,21,16,29,2,3,4
US,5,5,5,5,6,5,5,4,3,3,2,2,2,1,32,1,7,1,10,2,3,4,17,7,15,1,0,2
GB,6,0,4,5,5,2,7,2,4,2,3,1,2,1,19,1,2,1,60,2,1,2,30,12,27,3,2,3
US,5,3,1,1,5,3,7,5,6,1,2,2,1,1,16,1,2,1,60,2,1,3,4,2,0,0,0,0
US,5,6,6,7,6,6,7,6,5,4,2,3,2,1,18,1,4,1,60,2,1,3,32,22,7,3,4,0
US,3,5,6,3,6,5,6,2,7,3,2,2,1,1,17,1,7,1,60,2,1,5,16,6,20,1,0,2
GB,1,4,7,7,5,5,6,3,1,1,2,3,2,1,36,1,6,3,60,1,3,2,36,34,39,4,4,4
HU,6,6,6,1,6,5,4,3,7,6,2,2,1,2,20,1,2,1,60,1,1,3,2,1,1,0,0,0
IT,1,6,4,7,5,7,6,5,1,3,4,2,2,2,27,2,2,1,60,1,1,1,32,11,31,3,2,4
CA,1,5,5,5,5,7,1,3,6,7,4,3,1,1,24,1,12,1,60,2,1,2,12,29,42,0,4,4
GB,5,6,5,6,6,6,6,3,3,2,3,3,2,1,23,1,1,5,60,2,1,2,15,14,21,1,2,3
BR,2,6,5,6,5,7,5,3,3,5,3,3,2,2,27,1,1,2,60,1,1,2,28,14,26,3,2,3
